Entry	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
P21777	reviewed	ATP-dependent 6-phosphofructokinase 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (Phosphohexokinase 1)	pfkA TTHA1962	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	322	6-phosphofructokinase complex [GO:0005945]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]	6-phosphofructokinase complex [GO:0005945]	6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]	GO:0003872; GO:0005524; GO:0005945; GO:0006002; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0048029; GO:0061621; GO:0070095
P27000	reviewed	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX TTHA0438	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	468	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; glutamyl-tRNA aminoacylation [GO:0006424]	glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]	ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0004818; GO:0005524; GO:0005829; GO:0006424; GO:0008270
P56206	reviewed	Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)	glyQS glyS TTHA0543	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	506	glycine-tRNA ligase complex [GO:0009345]; ATP binding [GO:0005524]; glycine binding [GO:0016594]; glycine-tRNA ligase activity [GO:0004820]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein dimerization activity [GO:0046983]; glycyl-tRNA aminoacylation [GO:0006426]	glycyl-tRNA aminoacylation [GO:0006426]	glycine-tRNA ligase complex [GO:0009345]	ATP binding [GO:0005524]; glycine binding [GO:0016594]; glycine-tRNA ligase activity [GO:0004820]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein dimerization activity [GO:0046983]	GO:0000287; GO:0004820; GO:0005524; GO:0006426; GO:0009345; GO:0016594; GO:0042802; GO:0046983
P61497	reviewed	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	phr TTHB102	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	420	deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; DNA repair [GO:0006281]; response to light stimulus [GO:0009416]	DNA repair [GO:0006281]; response to light stimulus [GO:0009416]		deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]	GO:0003677; GO:0003904; GO:0006281; GO:0009416; GO:0071949
P80373	reviewed	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)	rpsD rps4 TTHA1665	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	209	small ribosomal subunit [GO:0015935]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	small ribosomal subunit [GO:0015935]	metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0015935; GO:0019843; GO:0042274; GO:0046872
P98005	reviewed	Cytochrome c oxidase polypeptide I+III (EC 7.1.1.9) (Cytochrome c aa(3) subunit 1) (A-protein) (Cytochrome caa3)	caaA ctaD TTHA0312	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	791	plasma membrane [GO:0005886]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]	electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]; respiratory electron transport chain [GO:0022904]	plasma membrane [GO:0005886]	cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0004129; GO:0005886; GO:0006119; GO:0015990; GO:0020037; GO:0022904; GO:0046872
Q53VY2	reviewed	CRISPR-associated endonuclease/helicase Cas3 (EC 3.1.-.-) (EC 3.6.4.-) (CRISPR-associated ssDNA endonuclease/helicase Cas3)	cas3 TTHB187	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	920	ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; defense response to virus [GO:0051607]	defense response to virus [GO:0051607]		ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	GO:0003723; GO:0003724; GO:0004519; GO:0005524; GO:0046872; GO:0051607
Q53W17	reviewed	CRISPR system endoribonuclease Csm6 (EC 3.1.-.-) (CRISPR type III-A associated protein Csm6) (TtCsm6)	csm6 TTHB152	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	464	endonuclease activity [GO:0004519]; defense response to virus [GO:0051607]	defense response to virus [GO:0051607]		endonuclease activity [GO:0004519]	GO:0004519; GO:0051607
Q53W83	reviewed	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)	kdgK TTHB079	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	309	2-dehydro-3-deoxygluconokinase activity [GO:0008673]; ATP binding [GO:0005524]; nucleotide binding [GO:0000166]; phosphorylation [GO:0016310]	phosphorylation [GO:0016310]		2-dehydro-3-deoxygluconokinase activity [GO:0008673]; ATP binding [GO:0005524]; nucleotide binding [GO:0000166]	GO:0000166; GO:0005524; GO:0008673; GO:0016310
Q53WI0	reviewed	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxohexanoate aldolase) (EC 4.1.3.43) (4-hydroxy-2-oxopentanoate aldolase)	TTHB246	Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8)	347	2-isopropylmalate synthase activity [GO:0003852]; 4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145]; catabolic process [GO:0009056]; L-leucine biosynthetic process [GO:0009098]	catabolic process [GO:0009056]; L-leucine biosynthetic process [GO:0009098]		2-isopropylmalate synthase activity [GO:0003852]; 4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]; manganese ion binding [GO:0030145]	GO:0003852; GO:0008701; GO:0009056; GO:0009098; GO:0030145
